B,S,H,Hkv,D,dtype,causal,FlyDSL_Time(us),FlyDSL_TFLOPS,FlyDSL_MaxErr,CK_Time(us),CK_TFLOPS,CK_MaxErr,ASM_Time(us),ASM_TFLOPS,ASM_MaxErr,Fly/CK_TFLOPS%,Fly/CK_MaxErr_ratio,Fly/ASM_TFLOPS%,Fly/ASM_MaxErr_ratio
16,8192,64,64,128,bf16,causal,25400.3,692.6,3.91e-03,21204.7,829.6,3.91e-03,16129.7,1090.7,3.91e-03,83.5%,1.00x,63.5%,1.00x
16,8192,64,8,128,bf16,causal,25613.4,686.8,3.91e-03,21554.5,816.2,3.91e-03,16682.1,1054.6,3.91e-03,84.2%,1.00x,65.1%,1.00x
16,8192,64,64,128,bf16,nocausal,54878.5,641.1,2.44e-04,40273.4,873.6,2.44e-04,29943.4,1175.0,2.44e-04,73.4%,1.00x,54.6%,1.00x
16,8192,64,8,128,bf16,nocausal,50215.0,700.7,2.44e-04,40888.1,860.5,2.44e-04,29794.5,1180.9,2.44e-04,81.4%,1.00x,59.3%,1.00x
AVG (all),,,,,,,39026.8,680.3,2.08e-03,30980.2,845.0,2.08e-03,23137.5,1125.3,2.08e-03,80.5%,1.00x,60.5%,1.00x
AVG (causal),,,,,,,25506.8,689.7,3.91e-03,21379.6,822.9,3.91e-03,16405.9,1072.6,3.91e-03,83.8%,1.00x,64.3%,1.00x
AVG (nocausal),,,,,,,52546.8,670.9,2.44e-04,40580.7,867.1,2.44e-04,29869.0,1178.0,2.44e-04,77.4%,1.00x,57.0%,1.00x
